name,id,tier,rarity,tags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Accelerated Shields,advancedshieldemitter,0,,"defensive, shields",3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,Increases the turn rate of the ship's shields by %s percent and the rate at which the shields are raised by %s percent.,Increases shield turn rate and extension speed.,graphics/hullmods/accelerated_shields.png
Advanced Optics,advancedoptics,2,,offensive,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,"Extends the range of beam weapons by %s su, but reduces their turn rate by %s percent. Cumulative with Integrated Targeting Unit.",Increases beam weapon range.,graphics/hullmods/advanced_optics.png
Advanced Turret Gyros,turretgyros,0,,defensive,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,Increases the turn rate of all turrets by %s percent.,Increases turret turn rate.,graphics/hullmods/advanced_turret_gyros.png
Armored Weapon Mounts,armoredweapons,0,,defensive,2500,,,,3,6,9,15,data.hullmods.ArmoredWeapons,"Increases the durability of all weapons by %s percent, but decreases their turn rate by %s percent. Also increases the ship's armor by %s percent.",Makes weapons harder to disable.,graphics/hullmods/armored_weapon_emplacements.png
Augmented Drive Field,augmentedengines,3,,engines,8000,,,,5,8,15,20,data.hullmods.AugmentedEngines,"Increases the maximum burn level by %s. The higher drive emissions interfere with sensor operation, reducing their strength by %s percent, and also increase the ship's sensor profile by %s percent.","Increases maximum burn level, penalty to sensors.",graphics/hullmods/augmented_engines.png
Automated Repair Unit,autorepair,2,,"engines, defensive",7500,,,,5,10,15,25,data.hullmods.AutomatedRepairUnit,"Reduces the time required to repair disabled weapons and engines (in combat) by %s percent.

Also increases the combat readiness recovery and repair rates by %s percent. The per-day supply consumption for CR recovery is increased to account for the increased recovery rate, but the total supply cost remains the same.",Increases weapon repair rate in combat.,graphics/hullmods/automated_repair_unit.png
Auxiliary Thrusters,auxiliarythrusters,1,,engines,5000,TRUE,,,5,10,15,25,data.hullmods.AuxiliaryThrusters,Increases the ship's maneuverability by %s percent.,Increases maneuverability.,graphics/hullmods/auxilliary_thrusters.png
Blast Doors,blast_doors,0,,defensive,2500,TRUE,,,5,10,15,25,data.hullmods.BlastDoors,"Installs additional hermetic and heavily reinforced doors at critical junctures throughout the ship. Increases hull integrity by %s.

Ship takes %s fewer crew casualties from hull damage sustained in combat.","Increases hull integrity, reduces crew casualties.",graphics/hullmods/blast_doors.png
Converted Hangar,converted_hangar,1,,special,5000,,,,0,10,15,20,data.hullmods.ConvertedHangar,"Converts the ship's standard shuttle hangar to house an improvised fighter bay. This makeshift bay takes longer to launch replacement fighters (%s for destroyers, %s for cruisers, %s for capital ships), and is incapable of quickly relaunching returning fighters.

Increases the minimum crew required by %s to account for pilots and bay crews.

Can not be installed on frigates, phase ships, or ships that already have proper fighter bays.",Improvised fighter bay for non-carriers.,graphics/hullmods/converted_hangar.png
Dedicated Targeting Core,dedicated_targeting_core,0,,offensive,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"Increases the range of ballistic and energy weapons by %s/%s percent for cruisers/capital ships.

Can not be installed on a frigate or a destroyer, and can not work in conjunction with Integrated Targeting Unit.

Most combat ships install either an Integrated Targeting Unit or a Dedicated Targeting Core, with the exception of more specialized variants.","Increases weapon range, more so for larger ships.",graphics/hullmods/targeting_core.png
ECCM Package,eccm,2,,"offensive, defensive",2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"Reduces the chance for missiles launched by the ship to be affected by electronic counter-measures and flares by %s. A CPU core adjunct in each missile also improves the tracking algorithm (if any) and effective engine performance.

Reduces the weapon range reduction due to superior enemy Electronic Warfare by %s.","Improves missile speed and guidance, reduces effect of enemy EW.",graphics/hullmods/eccm_package.png
ECM Package,ecm,2,,"offensive, special",4000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.ECMPackage,"When deployed in combat, grants %s/%s/%s/%s percent ECM rating, depending on this ship's hull size.",Increases ship's ECM rating.,graphics/hullmods/ecm_package.png
Expanded Deck Crew,expanded_deck_crew,1,,special,4000,,,,5,8,15,20,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"Reduces the rate at which the fighter replacement rate decreases due to fighter losses by %s, and increases the rate at which it recovers by %s.

Increases the crew required by %s per fighter bay.","Improves fighter replacement rate, increases crew requirements.",graphics/hullmods/expanded_deck_crew.png
Expanded Magazines,magazines,1,,offensive,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,Increases the ammo capacity or the number of charges for ballistic and energy weapons by %s percent.,Increases ammo/charges for ballistic and energy weapons.,graphics/hullmods/expanded_magazines.png
Expanded Missile Racks,missleracks,1,,offensive,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,Increases the ammo capacity of missile weapons by %s percent.,Increases missile weapon ammo.,graphics/hullmods/expanded_missile_racks.png
Extended Shields,extendedshieldemitter,1,,"shields, defensive",5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,Increases the shield's coverage by %s degrees.,Increases maximum shield arc.,graphics/hullmods/extended_shields.png
Flux Coil Adjunct,fluxcoil,0,,special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"Increases the ship's flux capacity by %s/%s/%s/%s, depending on hull size. Not as efficient as flux capacitors - most useful when added to a design that already carries the maximum possible number of capacitors.",Increases flux capacity.,graphics/hullmods/flux_coil_adjunct.png
Flux Distributor,fluxdistributor,0,,special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"Increases the ship's flux dissipation by %s/%s/%s/%s, depending on hull size. Not as efficient as flux vents - most useful when added to a design that already carries the maximum possible number of vents.",Increases flux dissipation.,graphics/hullmods/flux_distributor.png
Shield Conversion - Front,frontemitter,2,,"shields, defensive",7000,,,,3,6,10,18,data.hullmods.FrontShieldEmitter,"Locks the ship's omni-directional shield emitter to a front-facing position and extends its arc by %s percent. In addition, the stable emitter position results in a %s percent reduction to the shield's upkeep cost.

As with all frontal emitters, the shield will also deploy twice as quickly.","Converts omni shield to front, extends arc.",graphics/hullmods/front_shield_emitter.png
Makeshift Shield Generator,frontshield,0,,"shields, defensive",4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"Installs a makeshift, inefficient shield generator on the ship. The shield emitter is locked in a forward-facing position and has a %s degree arc.

The shield generator draws much of its power from engines and reduces the ship's top speed by %s.",Installs basic shields on shieldless ship. Reduces top speed.,graphics/hullmods/front_shield_generator.png
Hardened Shields,hardenedshieldemitter,3,,"shields, defensive",10000,,,,6,12,18,30,data.hullmods.HardenedShieldEmitter,Reduces the amount of damage taken by shields by %s percent. Also reduces the chance that shields will be pierced by EMP arcs from weapons like the Ion Beam.,Reduces damage taken by shields.,graphics/hullmods/hardened_shields.png
Hardened Subsystems,hardened_subsystems,0,,special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"Increases peak operating time for ships that suffer degraded performance from extended deployment by %s.

Also reduces the rate at which combat readiness degrades by %s.","Increases peak time, CR degrades more slowly.",graphics/hullmods/hardened_subsystems.png
Heavy Armor,heavyarmor,0,,defensive,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,"Increases the ship's armor by %s/%s/%s/%s points, depending on hull size. Also reduces its maneuverability by %s percent.","Increases armor, reduces maneuverability.",graphics/hullmods/heavy_armor.png
Insulated Engine Assembly,insulatedengine,0,,"engines, defensive",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"Increases the durability of the ship's engines by %s percent, and the ship's hull integrity by %s percent.

The ship also has %s percent less sensor profile.","Makes engines harder to disable, lowers sensor profile.",graphics/hullmods/insulated_engine_assembly.png
Integrated Point Defense AI,pointdefenseai,3,,defensive,10000,,,,4,8,12,20,data.hullmods.IntegratedPointDefenseAI,Gives all small non-missile weapons the ability to automatically target incoming enemy missiles.,All small non-missile weapons act as point-defense.,graphics/hullmods/integrated_point_defense_ai.png
Integrated Targeting Unit,targetingunit,3,,offensive,10000,,,,2,8,15,25,data.hullmods.IntegratedTargetingUnit,"Extends the range of ballistic and energy weapons by %s/%s/%s/%s percent, depending on hull size. Can not work in conjunction with Dedicated Targeting Core.

Most combat ships install either an Integrated Targeting Unit or a Dedicated Targeting Core, with the exception of more specialized variants.","Increases weapon range, more so for larger ships.",graphics/hullmods/integrated_targeting_unit.png
Nav Relay,nav_relay,2,,"engines, special",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"When deployed in combat, increases the top speed of other ships in your fleet by %s/%s/%s/%s percent, depending on this ship's hull size.",Increases top speed of other ships.,graphics/hullmods/nav_relay.png
Shield Conversion - Omni,adaptiveshields,3,,"shields, defensive",7000,,,,10,15,25,40,data.hullmods.OmniShieldEmitter,Converts frontal shields to omni-directional at the cost of reducing the shield's arc by %s.,"Converts front shield to omni, reduces arc.",graphics/hullmods/omni_shield_emitter_mod.png
Operations Center,operations_center,1,,special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,Increases the command point recovery rate by %s when installed on the flagship.,Increases command point recovery rate when on flagship.,graphics/hullmods/operations_center.png
Recovery Shuttles,recovery_shuttles,1,,special,4000,,,,5,8,15,20,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,Reduces the casualties suffered by fighter pilots by %s.,Reduces fighter pilot casualties.,graphics/hullmods/recovery_shuttles.png
Reinforced Bulkheads,reinforcedhull,0,,defensive,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"Increases the ship's hull integrity by %s percent. If disabled, the ship will not break apart and is almost always recoverable after the battle.",Increases hull integrity; ship almost always recoverable if lost.,graphics/hullmods/reinforced_bulkheads.png
Resistant Flux Conduits,fluxbreakers,2,,defensive,7000,,,,3,6,9,15,data.hullmods.FluxBreakers,Decreases the amount of damage dealt by EMP weapons (such as Ion Cannons) by %s percent. Also increases the ship's flux dissipation rate while venting by %s percent.,"Reduces amount of EMP damage taken, improves venting.",graphics/hullmods/resistant_flux_conduits.png
Safety Overrides,safetyoverrides,0,,"special, engines, offensive",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"Disabling safety protocols increases the ship's top speed in combat by %s/%s/%s (depending on ship size, with a corresponding increase in acceleration) and allows the zero-flux engine boost to take effect regardless of flux level. The flux dissipation rate, including that of additional vents, is increased by a factor of %s.

Reduces the peak performance time by a factor of %s, prevents the use of active venting, and drastically reduces weapon ranges past %s units.

Can not be installed on civilian or capital ships.","Drastic improvement in performance, much lower peak time.",graphics/hullmods/safety_overrides.png
Solar Shielding,solar_shielding,2,,defensive,5000,,,,5,10,15,20,data.hullmods.SolarShielding,"Originally developed by Diktat engineers after spending cycles dealing with the unique conditions of the inner Askonia system. Decreases the effect operating in a solar corona has on combat readiness by %s percent; also has the same effect against storms in deep hyperspace.

In combat situations, reduces beam damage taken by %s percent.",Reduces effect of being in corona and beam damage taken.,graphics/hullmods/solar_shielding2.png
Stabilized Shields,stabilizedshieldemitter,1,,"shields, defensive",5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,Reduces the amount of soft flux raised shields generate per second by %s percent. Does not affect the hard flux generated as a result of shields taking damage.,Reduces flux upkeep for shields.,graphics/hullmods/stabilized_shields.png
Surveying Equipment,surveying_equipment,1,,special,5000,,,,10,20,30,50,data.hullmods.SurveyingEquipment,"Reduces the heavy machinery and supplies required to perform surveys by %s/%s/%s/%s depending on hull size, down to a minimum of %s for each.",Reduces resource requirements for surveying.,graphics/hullmods/surveying_equipment.png
Unstable Injector,unstable_injector,0,,engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"Increases the ship's top speed in combat by %s/%s/%s/%s su/second, depending on hull size.

Interferes with targeting systems, reducing weapon range by %s percent.","Increases speed, reduces weapon range.",graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,
# standard built-in hullmods,,,,,,,,,,,,,,,,
Shielded Cargo Holds,shielded_holds,2,,,,,TRUE,,5,10,15,30,data.hullmods.ShieldedCargoHolds,"Commonly found on ships that can't always rely on shields to protect their cargo from cosmic radiation. Only a few tweaks are needed to have the shielding confound long-range cargo scans, reducing the probability of contraband being detected.",Improves chance to avoid detection of contraband.,graphics/hullmods/shielded_cargo_hold.png
Salvage Gantry,repair_gantry,,,,,,TRUE,,5,10,20,40,com.fs.starfarer.api.impl.campaign.RepairGantry,"Increases the resources gained from salvaging derelicts, floating hulks, and other such by %s/%s/%s/%s percent, depending on hull size, up to a fleetwide maximum equal to the salvage difficulty rating.

Does not affect the chance of recovering special items like weapons and fighter LPCs.",Increases resources gained from salvage.,graphics/hullmods/repair_gantry.png
Phase Field,phasefield,,,,,,TRUE,,0,0,0,0,data.hullmods.PhaseField,"The ship is able to run a low-grade phase field for extended periods of time, reducing its effective sensor profile to zero.",Reduces sensor profile.,graphics/hullmods/phase_field.png
Flux Shunt,fluxshunt,,,,,,TRUE,,10,20,30,50,data.hullmods.FluxShunt,Allows the ship to dissipate hard flux at %s percent of the normal rate while shields are on.,Allows dissipation of hard flux while shields are up.,graphics/hullmods/flux_shunt.png
Civilian-grade Hull,civgrade,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,Increases sensor profile by %s percent. Reduces sensor strength by %s percent.,"Increases sensor profile, reduces sensor strength.",graphics/hullmods/civilian_grade.png
High Maintenance,high_maintenance,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,Increases the monthly maintenance supply cost by %s.,Increases maintenance cost.,graphics/hullmods/high_maintenance.png
High Resolution Sensors,hiressensors,,,,,,TRUE,,0,0,0,0,data.hullmods.HighResSensors,Increases sensor strength by %s points.,Increases sensor strength.,graphics/hullmods/high_res_sensors.png
Monofilament Tow Cable,tow_cable,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"Improves the maximum burn level of the slowest ship in the fleet by 1. Multiple tugs can not be used to speed up the same ship by more than 1.

Can not be used in combat.",Increases burn level of another ship.,graphics/hullmods/monofilament_cable.png
Drive Field Stabilizer,drive_field_stabilizer,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"Stabilizes the fleet's drive bubble, increasing the maximum burn of the fleet by %s. The effect of multiple stabilizers is cumulative.

Increases the ship's sensor profile by %s.",Reduces fleetwide fuel use.,graphics/hullmods/augmented_drive_field.png
Delicate Machinery,delicate,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"The ship systems require excessive maintenance and do not stand up well under the rigours of prolonged engagements.

Increases the rate of in-combat CR decay after peak performance time runs out by %s.",Increases CR decay rate after peak time runs out.,graphics/hullmods/delicate_machinery.png
Heavy Ballistics Integration,hbi,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,Reduces the ordnance point cost of large ballistic weapons by %s.,Reduces ordnance point cost of large ballistic weapons.,graphics/hullmods/ballistics_integration.png
Automated Ship,automated,,,,,,TRUE,,0,0,0,0,data.hullmods.Automated,"This ship is fully automated, and does not require - and can not take on - any human crew.",Does not require and can not support crew.,graphics/hullmods/automated.png
Advanced Targeting Core,advancedcore,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,"Extends the range of ballistic and energy weapons by %s. The range of point-defense weapons is only extended by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Greatly extends non-missile weapon range.,graphics/hullmods/advanced_targeting_core.png
Targeting Supercomputer,supercomputer,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"Extends the range of ballistic and energy weapons by %s. The range of point-defense weapons is only extended by %s.

Also increases target-leading accuracy and greatly increases in-combat sensor range.",Greatly extends non-missile weapon range.,graphics/hullmods/targeting_supercomputer.png
Vast Bulk,vastbulk,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,"The main body of this structure is vast and is, for practical purposes, capable of absorbing any amount of damage from conventional weapons without being destroyed.",,graphics/hullmods/vast_bulk.png
Axial Rotation,axialrotation,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,This structure constantly rotates around its axis.,,graphics/hullmods/axial_rotation.png
Reduced Explosion,reduced_explosion,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,Reduced explosion radius and damage.,,graphics/hullmods/reduced_explosion.png
Always Detaches,always_detaches,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,Always detaches from parent structure when destroyed.,,graphics/hullmods/detach_always.png
Never Detaches,never_detaches,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,Never detaches from parent structure when destroyed.,,graphics/hullmods/detach_never.png
No Weapon Flux,no_weapon_flux,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,Weapon fire costs no flux. Used on fighters for fine-grained control of effective shield hitpoints.,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# ship skin buffs,,,,,,,,,,,,,,,,
Fourteenth Battlegroup,fourteenth,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,"This ship is a survivor of the original 14th Domain Battlegroup which founded the Hegemony. It is a prime specimen of the Domain Navy's ""decisive battle"" doctrine, particularly exhibited by a series of radical structural modifications (performed with pre-Collapse industrial methods) which allow the mounting of heavier armor plating by a flat increase of %s standard units, with only a %s percent reduction in speed and maneuverability. Exceptionally well-tuned energy systems increase flux throughput and capacity by %s percent over standard examples of this hull.",,graphics/hullmods/fourteenth.png
Militarized Hegemony Auxiliary,heg_militarized,,,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,"This ship is - or was - on the Hegemony auxiliary list. Uparmour kits applied at Hegemony Naval yards resulting in no loss of performance for a %s/%s/%s/%s percent increase in armor strength, depending on hull size. Core power systems have been upgraded to military standards resulting in a %s percent improvement in overall handling, %s percent increase in flux capacity, as well as a %s percent increase in flux dissipation.",,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# permanent ship debuffs,,,,,,,,,,,,,,,,
Compromised Armor,comp_armor,,,"dmod, damage, damageStruct",,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"This ship's armor has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Armor rating reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_armor.png
Compromised Hull,comp_hull,,,"dmod, damage, damageStruct",,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"This ship's hull has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Hull integrity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_hull.png
Degraded Engines,degraded_engines,,,"dmod, damage",,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's engines are suffering from permanently degraded performance. 

Top speed and maneuverability in combat reduced by %s. Maximum burn level decreased by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/degraded_engines.png
Faulty Power Grid,faulty_grid,,,"dmod, damage",,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's power grid will never be capable of achieving peak performance.

Flux capacity reduced by %s. Flux dissipation rate reduced by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/faulty_power_grid.png
Phase Coil Instability,unstable_coils,,,"dmod, phaseDamage",,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"The phase coils on this ship are impossible to calibrate properly due to subtle flaws. Reduces the phase-time bonus by %s, reduces the peak performance time by %s, and increases the rate at which combat readiness degrades by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/phase_coil_instability.png
Structural Damage,comp_structure,,,"dmod, damageStruct, destroyedDamageAlways",,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"This ship's hull has likely taken extreme damage in the past, possibly to the point of breaking apart. Armor rating reduced by %s, hull integrity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/structural_damage.png
Glitched Sensor Array,glitched_sensors,,,"dmod, damage",,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"The ship's sensor array is damaged past any repair short of a complete hull overhaul. Weapon range in combat reduced by %s. Sensor strength reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/glitched_sensor_array.png
Damaged Flight Deck,damaged_deck,,,"dmod, fighterBayDamage, carrierDamageAlways",,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"The flight decks on this ship have taken major damage and seriously interfere with normal operation. Time to launch replacement fighters is increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/damaged_flight_deck.png
Unreliable Subsystems,fragile_subsystems,,,"dmod, damage, peak_time, notPhase",,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"A widespread loss of redundant components reduces peak operating time by %s, and increases the rate at which combat readiness degrades by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/fragile_subsystems.png
,,,,,,,,,,,,,,,,
Destroyed Weapon Mounts,destroyed_mounts,,,dmod,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,Some of the original weapon mounts on this ship have been damaged beyond repair and can no longer be used.,,graphics/hullmods/destroyed_weapon_mounts.png
Ill-Advised Modifications,ill_advised,,,dmod,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,"This hull's systems have been drastically modified from spec, likely without certified engineering oversight. Its systems appear to work correctly under routine conditions, but have a significant chance of critical malfunction when stressed.",,graphics/hullmods/illadvised.png